State,City,Recipient,Grant Category,Amount,Population Estimate (Census),Spending Per Person
Alaska,Kenai,KDLL,Radio Community Service Grant,"$131,034","733,406",$13.73
Alaska,Ketchikan,KRBD,Radio Community Service Grant,"$140,741","733,406",$13.73
Alaska,Kodiak,KMXT,Radio Community Service Grant,"$143,690","733,406",$13.73
Alaska,Kotzebue,KOTZ,Radio Community Service Grant,"$226,058","733,406",$13.73
Alaska,Mcgrath,KSKO,Radio Community Service Grant,"$209,861","733,406",$13.73
Alaska,Petersburg,KFSK,Radio Community Service Grant,"$142,462","733,406",$13.73
Alaska,Sand Point,KSDP,Radio Community Service Grant,"$211,151","733,406",$13.73
Alaska,Sitka,KCAW,Radio Community Service Grant,"$151,854","733,406",$13.73
Alaska,St. Paul,KUHB,Radio Community Service Grant,"$207,248","733,406",$13.73
Alaska,Talkeetna,KTNA,Radio Community Service Grant,"$153,900","733,406",$13.73
Alaska,Unalakleet,KNSA,Radio Community Service Grant,"$208,130","733,406",$13.73
Alaska,Unalaska,KUCB,Radio Community Service Grant,"$236,651","733,406",$13.73
Alaska,Valdez,KCHU,Radio Community Service Grant,"$126,385","733,406",$13.73
Alaska,Wrangell,KSTK,Radio Community Service Grant,"$132,115","733,406",$13.73
American Samoa,Pago Pago,KVZK,Other System Support,"$10,126",,
American Samoa,Pago Pago,KVZK,Television Community Service Grant,"$725,292",,
Arizona,Covered Wells,KOHN,Radio Community Service Grant,"$253,687","7,431,344",$0.91
Arizona,Flagstaff,KNAU,Radio Community Service Grant,"$253,962","7,431,344",$0.91
Arizona,Flagstaff,Native Public Media,Other System Support,"$330,000","7,431,344",$0.91
Arizona,Kykotsmovi,KUYI,Radio Community Service Grant,"$190,578","7,431,344",$0.91
Arizona,Phoenix,KAET,Ready to Learn,"$85,000","7,431,344",$0.91
Arizona,Phoenix,KAET,Television Community Service Grant,"$2,019,946","7,431,344",$0.91
Arizona,Phoenix,KAET,Other System Support,"$36,144","7,431,344",$0.91
Arizona,Tempe,KBAQ,Radio Community Service Grant,"$228,319","7,431,344",$0.91
Arizona,Tempe,KJZZ,Radio Community Service Grant,"$721,446","7,431,344",$0.91
Arizona,Tuba City,KGHR,Radio Community Service Grant,"$186,269","7,431,344",$0.91
Arizona,Tucscon,KUAT,Other System Support,"$27,770","7,431,344",$0.91
Arizona,Tucscon,KUAT,Television Community Service Grant,"$1,567,446","7,431,344",$0.91
Arizona,Tucson,KUAZ,Radio Community Service Grant,"$423,637","7,431,344",$0.91
Arizona,Tucson,KXCI,Radio Community Service Grant,"$104,962","7,431,344",$0.91
Arizona,Whiteriver,KNNB,Radio Community Service Grant,"$195,363","7,431,344",$0.91
Arizona,Yuma,KAWC,Radio Community Service Grant,"$164,018","7,431,344",$0.91
Arkansas,Conway,Arkansas Educational Television Network,Other System Support,"$36,080","3,067,732",$1.03
Arkansas,Conway,Arkansas Educational Television Network,Ready to Learn,"$50,000","3,067,732",$1.03
Arkansas,Conway,Arkansas Educational Television Network,Television Community Service Grant,"$2,204,322","3,067,732",$1.03
Arkansas,Conway,Arkansas PBS Foundation,Television Programming,"$326,285","3,067,732",$1.03
Arkansas,Fayetteville,KUAF,Radio Community Service Grant,"$137,468","3,067,732",$1.03
Arkansas,Hot Springs,Hot Springs Documentary Film Institute,Other System Support,"$109,940","3,067,732",$1.03
Arkansas,Little Rock,KUAR,Radio Community Service Grant,"$139,787","3,067,732",$1.03
Arkansas,State University,KASU,Radio Community Service Grant,"$156,004","3,067,732",$1.03
California,Arcata,KHSU,Radio Community Service Grant,"$113,303","38,965,193",$1.39
California,Burbank,KCET,Other System Support,"$62,694","38,965,193",$1.39
California,Burbank,KCET,Television Community Service Grant,"$3,487,475","38,965,193",$1.39
California,Burbank,KCET,Television Programming,"$400,000","38,965,193",$1.39
California,Burbank,Latino Public Broadcasting,Other System Support,"$668,575","38,965,193",$1.39
California,Burbank,Latino Public Broadcasting,Television Programming,"$1,990,016","38,965,193",$1.39
California,Chico,KCHO,Radio Community Service Grant,"$187,164","38,965,193",$1.39
California,Chico,KZFR,Radio Community Service Grant,"$96,516","38,965,193",$1.39
California,Clovis,KVPR,Other System Support,"$4,396","38,965,193",$1.39
California,Clovis,KVPR,Radio Community Service Grant,"$153,820","38,965,193",$1.39
California,Costa Mesa,KOCE,Ready to Learn,"$185,000","38,965,193",$1.39
California,Eureka,KEET,Television Community Service Grant,"$772,162","38,965,193",$1.39
California,Eureka,KEET,Other System Support,"$11,636","38,965,193",$1.39
California,Fresno,KSJV,Radio Community Service Grant,"$287,465","38,965,193",$1.39
California,Fresno,KVPT,Television Community Service Grant,"$990,537","38,965,193",$1.39
California,Fresno,KVPT,Other System Support,"$17,078","38,965,193",$1.39
California,Fresno,KVPT,Ready to Learn,$68,"38,965,193",$1.39
California,Hoopa,KIDE,Radio Community Service Grant,"$195,003","38,965,193",$1.39
California,Irvine,"Shoe Ink, LLC",Television Programming,"$1,400,000","38,965,193",$1.39
California,Laguna Beach,KXRN,Radio Community Service Grant,"$106,980","38,965,193",$1.39
California,Long Beach,KKJZ,Radio Community Service Grant,"$100,569","38,965,193",$1.39
California,Los Angeles,KLCS,Other System Support,"$14,277","38,965,193",$1.39
California,Los Angeles,KLCS,Television Community Service Grant,"$794,585","38,965,193",$1.39
California,Los Angeles,KUSC,Radio Community Service Grant,"$1,042,880","38,965,193",$1.39
California,Nevada City,KVMR,Radio Community Service Grant,"$168,661","38,965,193",$1.39
California,Northridge,KCSN,Radio Community Service Grant,"$93,911","38,965,193",$1.39
California,Pasadena,KPCC,Radio Community Service Grant,"$1,621,749","38,965,193",$1.39
California,Philo,KZYX,Radio Community Service Grant,"$146,701","38,965,193",$1.39
California,Point Reyes Station,KWMR,Radio Community Service Grant,"$143,118","38,965,193",$1.39
California,Redding,KIXE,Other System Support,"$12,268","38,965,193",$1.39
California,Redding,KIXE,Television Community Service Grant,"$820,966","38,965,193",$1.39
California,Redway,KMUD,Radio Community Service Grant,"$121,092","38,965,193",$1.39
California,Rohnert Park,KRCB,Other System Support,"$7,490","38,965,193",$1.39
California,Rohnert Park,KRCB,Radio Community Service Grant,"$81,671","38,965,193",$1.39
California,Rohnert Park,KRCB,Television Community Service Grant,"$421,723","38,965,193",$1.39
California,Sacramento,KVIE,Television Community Service Grant,"$2,046,964","38,965,193",$1.39
California,Sacramento,KVIE,Other System Support,"$36,624","38,965,193",$1.39
California,Sacramento,KXJZ,Radio Community Service Grant,"$569,155","38,965,193",$1.39
California,Sacramento,KXPR,Radio Community Service Grant,"$350,570","38,965,193",$1.39
California,San Bernardino,KVCR,Television Community Service Grant,"$440,260","38,965,193",$1.39
California,San Bernardino,KVCR,Other System Support,"$7,870","38,965,193",$1.39
California,San Diego,KPBS,Other System Support,"$55,959","38,965,193",$1.39
California,San Diego,KPBS,Radio Community Service Grant,"$671,721","38,965,193",$1.39
California,San Diego,KPBS,Television Community Service Grant,"$3,115,497","38,965,193",$1.39
California,San Diego,KSDS,Radio Community Service Grant,"$214,310","38,965,193",$1.39
California,San Francisco,Center for Asian American Media,Other System Support,"$641,169","38,965,193",$1.39
California,San Francisco,Center for Asian American Media,Television Programming,"$1,217,422","38,965,193",$1.39
California,San Francisco,"Independent Television Service, Inc.",Television Programming,"$16,324,667","38,965,193",$1.39
California,San Francisco,"Independent Television Service, Inc.",Other System Support,"$2,200,000","38,965,193",$1.39
California,San Francisco,KALW,Radio Community Service Grant,"$253,374","38,965,193",$1.39
California,San Francisco,KQED,Radio Programming,"$150,000","38,965,193",$1.39
California,San Francisco,KQED,Television Community Service Grant,"$4,704,837","38,965,193",$1.39
California,San Francisco,KQED,Other System Support,"$184,559","38,965,193",$1.39
California,San Francisco,KQED,Radio Community Service Grant,"$2,046,382","38,965,193",$1.39
California,San Luis Obispo,KCBX,Radio Community Service Grant,"$193,658","38,965,193",$1.39
California,San Mateo,KCSM,Radio Community Service Grant,"$150,645","38,965,193",$1.39
California,Santa Monica,KCRW,Radio Community Service Grant,"$1,235,651","38,965,193",$1.39
California,Seaside,KAZU,Radio Community Service Grant,"$212,147","38,965,193",$1.39
California,Thousand Oaks,KCLU,Radio Community Service Grant,"$191,547","38,965,193",$1.39
California,Westlake Village,SmithGeiger LLC,Other System Support,"$40,000","38,965,193",$1.39
Colorado,Alamosa,KRZA,Radio Community Service Grant,"$182,957","5,877,610",$1.27
Colorado,Aspen,KAJX,Radio Community Service Grant,"$173,357","5,877,610",$1.27
Colorado,Boulder,KGNU,Radio Community Service Grant,"$120,799","5,877,610",$1.27
Colorado,Boulder,"Pacey Economics, Inc.",Other System Support,"$359,000","5,877,610",$1.27
Colorado,Carbondale,KDNK,Radio Community Service Grant,"$143,334","5,877,610",$1.27
Colorado,Centennial,KVOD,Radio Community Service Grant,"$1,109,175","5,877,610",$1.27
Colorado,Colorado Springs,KCME,Radio Community Service Grant,"$108,521","5,877,610",$1.27
Colorado,Colorado Springs,KRCC,Radio Community Service Grant,"$184,072","5,877,610",$1.27
Colorado,Cortez,KSJD,Radio Community Service Grant,"$145,614","5,877,610",$1.27
Colorado,Crested Butte,KBUT,Radio Community Service Grant,"$143,261","5,877,610",$1.27
Colorado,Denver,KBDI,Other System Support,"$8,939","5,877,610",$1.27
Colorado,Denver,KBDI,Television Community Service Grant,"$511,781","5,877,610",$1.27
Colorado,Denver,KRMA,Television Community Service Grant,"$2,417,399","5,877,610",$1.27
Colorado,Denver,KRMA,Other System Support,"$40,065","5,877,610",$1.27
Colorado,Denver,KUVO,Radio Community Service Grant,"$153,821","5,877,610",$1.27
Colorado,Durango,KDUR,Radio Community Service Grant,"$146,040","5,877,610",$1.27
Colorado,Fort Collins,KRFC,Radio Community Service Grant,"$87,055","5,877,610",$1.27
Colorado,Grand Junction,KAFM,Radio Community Service Grant,"$95,031","5,877,610",$1.27
Colorado,Greeley,KUNC,Radio Community Service Grant,"$322,450","5,877,610",$1.27
Colorado,Ignacio,KSUT,Radio Community Service Grant,"$258,184","5,877,610",$1.27
Colorado,Lakewood,Paragon Media Strategies LLC,Other System Support,"$167,000","5,877,610",$1.27
Colorado,Louisville,Theodore F. Krichels,Other System Support,"$24,820","5,877,610",$1.27
Colorado,Paonia,KVNF,Radio Community Service Grant,"$128,846","5,877,610",$1.27
Colorado,Paonia,"National Federation of Community Broadcasters, Inc.",Other System Support,"$275,446","5,877,610",$1.27
Colorado,Telluride,KOTO,Radio Community Service Grant,"$170,164","5,877,610",$1.27
Connecticut,Fairfield,WSHU,Radio Community Service Grant,"$368,895","3,617,176",$0.66
Connecticut,Hartford,"Connecticut Public Broadcasting, Inc.",Other System Support,"$24,128","3,617,176",$0.66
Connecticut,Hartford,"Connecticut Public Broadcasting, Inc.",Radio Community Service Grant,"$372,373","3,617,176",$0.66
Connecticut,Hartford,"Connecticut Public Broadcasting, Inc.",Television Community Service Grant,"$1,387,475","3,617,176",$0.66
Connecticut,Monroe,WMNR,Radio Community Service Grant,"$88,243","3,617,176",$0.66
Connecticut,Sharon,WHDD,Radio Community Service Grant,"$131,605","3,617,176",$0.66
Delaware,Dover,WDDE,Radio Community Service Grant,"$116,553","1,031,890",$0.11
District of Columbia,Washington,"Capital Concerts, Inc.",Television Programming,"$1,825,000","678,972",$6.64
District of Columbia,Washington,Civic LLC,Other System Support,"$192,300","678,972",$6.64
District of Columbia,Washington,"Everfi, Inc.",Other System Support,"$50,063","678,972",$6.64
District of Columbia,Washington,National Hispanic Foundation for the Arts,Other System Support,"$15,000","678,972",$6.64
District of Columbia,Washington,National Public Radio,Public Broadcasting Interconnection,"$11,866,755","678,972",$6.64
District of Columbia,Washington,National Public Radio,Radio Programming,"$1,905,557","678,972",$6.64
District of Columbia,Washington,National Public Radio,Television Programming,"$125,000","678,972",$6.64
District of Columbia,Washington,National Public Radio,Other System Support,"$550,000","678,972",$6.64
District of Columbia,Washington,WAMU,Radio Community Service Grant,"$1,477,069","678,972",$6.64
District of Columbia,Washington,WHUT,Other System Support,"$16,227","678,972",$6.64
District of Columbia,Washington,WHUT,Television Community Service Grant,"$933,340","678,972",$6.64
Florida,Boynton Beach,WPBT,Other System Support,"$31,287","22,610,726",$0.71
Florida,Boynton Beach,WPBT,Television Community Service Grant,"$1,222,121","22,610,726",$0.71
Florida,Cocoa,WEFS,Other System Support,"$6,868","22,610,726",$0.71
Florida,Cocoa,WEFS,Television Community Service Grant,"$395,336","22,610,726",$0.71
Florida,Fort Myers,WGCU,Television Community Service Grant,"$1,181,993","22,610,726",$0.71
Florida,Fort Myers,WGCU,Other System Support,"$46,238","22,610,726",$0.71
Florida,Fort Myers,WGCU,Radio Community Service Grant,"$198,811","22,610,726",$0.71
Florida,Fort Pierce,WQCS,Radio Community Service Grant,"$124,848","22,610,726",$0.71
Florida,Gainesville,WUFT,Television Community Service Grant,"$893,539","22,610,726",$0.71
Florida,Gainesville,WUFT,Other System Support,"$15,008","22,610,726",$0.71
Florida,Gainesville,WUFT,Radio Community Service Grant,"$219,136","22,610,726",$0.71
Florida,Jacksonville,WJCT,Other System Support,"$17,461","22,610,726",$0.71
Florida,Jacksonville,WJCT,Radio Community Service Grant,"$202,715","22,610,726",$0.71
Florida,Jacksonville,WJCT,Television Community Service Grant,"$999,558","22,610,726",$0.71
Florida,Melbourne,WFIT,Radio Community Service Grant,"$118,586","22,610,726",$0.71
Florida,Miami,WDNA,Radio Community Service Grant,"$160,519","22,610,726",$0.71
Florida,Miami,WLRN,Television Community Service Grant,"$600,554","22,610,726",$0.71
Florida,Miami,WLRN,Other System Support,"$10,793","22,610,726",$0.71
Florida,Miami,WLRN,Radio Community Service Grant,"$627,174","22,610,726",$0.71
Florida,Orlando,"University of Central Florida Research Foundation, Inc.",Ready to Learn,"$75,000","22,610,726",$0.71
Florida,Orlando,WMFE,Radio Community Service Grant,"$264,079","22,610,726",$0.71
Florida,Orlando,WUCF,Radio Community Service Grant,"$97,712","22,610,726",$0.71
Florida,Orlando,WUCF,Television Community Service Grant,"$917,311","22,610,726",$0.71
Florida,Orlando,WUCF,Other System Support,"$16,245","22,610,726",$0.71
Florida,Panama City,WKGC,Radio Community Service Grant,"$143,569","22,610,726",$0.71
Florida,Pensacola,WSRE,Television Community Service Grant,"$1,021,206","22,610,726",$0.71
Florida,Pensacola,WSRE,Other System Support,"$17,624","22,610,726",$0.71
Florida,Pensacola,WUWF,Radio Community Service Grant,"$164,253","22,610,726",$0.71
Florida,St. Petersburg,"The Poynter Institute for Media Studies, Inc",Other System Support,"$599,330","22,610,726",$0.71
Florida,Tallahassee,WFSU,Radio Community Service Grant,"$285,257","22,610,726",$0.71
Florida,Tallahassee,WFSU,Ready to Learn,"$185,000","22,610,726",$0.71
Florida,Tallahassee,WFSU,Television Community Service Grant,"$1,703,039","22,610,726",$0.71
Florida,Tallahassee,WFSU,Other System Support,"$29,180","22,610,726",$0.71
Florida,Tampa,WEDU,Ready to Learn,"$75,000","22,610,726",$0.71
Florida,Tampa,WEDU,Television Community Service Grant,"$1,767,801","22,610,726",$0.71
Florida,Tampa,WEDU,Other System Support,"$31,581","22,610,726",$0.71
Florida,Tampa,WMNF,Radio Community Service Grant,"$112,791","22,610,726",$0.71
Florida,Tampa,WUSF,Radio Community Service Grant,"$595,943","22,610,726",$0.71
Georgia,Atlanta,Georgia Public Broadcasting,Other System Support,"$51,478","11,029,227",$0.51
Georgia,Atlanta,Georgia Public Broadcasting,Ready to Learn,"$50,000","11,029,227",$0.51
Georgia,Atlanta,Georgia Public Broadcasting,Television Community Service Grant,"$3,198,567","11,029,227",$0.51
Georgia,Atlanta,WABE,Other System Support,"$17,141","11,029,227",$0.51
Georgia,Atlanta,WABE,Radio Community Service Grant,"$643,972","11,029,227",$0.51
Georgia,Atlanta,WABE,Television Community Service Grant,"$970,220","11,029,227",$0.51
Georgia,Atlanta,WCLK,Radio Community Service Grant,"$219,685","11,029,227",$0.51
Georgia,Atlanta,WJSP,Radio Community Service Grant,"$332,707","11,029,227",$0.51
Georgia,Atlanta,WUGA,Radio Community Service Grant,"$146,082","11,029,227",$0.51
Guam,Mangilao,KGTF,Other System Support,"$11,954",,
Guam,Mangilao,KGTF,Television Community Service Grant,"$817,667",,
Guam,Mangilao,KPRG,Other System Support,"$36,422",,
Guam,Mangilao,KPRG,Radio Community Service Grant,"$136,151",,
Hawaii,Honolulu,Hawaii Public Television,Television Community Service Grant,"$1,435,769","1,435,138",$1.80
Hawaii,Honolulu,Hawaii Public Television,Other System Support,"$25,104","1,435,138",$1.80
Hawaii,Honolulu,KHPR,Radio Community Service Grant,"$400,635","1,435,138",$1.80
Hawaii,Honolulu,Pacific Islanders In Communications,Other System Support,"$773,860","1,435,138",$1.80
Hawaii,Honolulu,Pacific Islanders In Communications,Television Programming,"$1,084,731","1,435,138",$1.80
Hawaii,Princeville,KKCR,Radio Community Service Grant,"$75,034","1,435,138",$1.80
Idaho,Boise,Idaho Public Television,Television Community Service Grant,"$1,874,460","1,964,726",$1.42
Idaho,Boise,Idaho Public Television,Other System Support,"$27,767","1,964,726",$1.42
Idaho,Boise,Idaho Public Television,Ready to Learn,"$75,000","1,964,726",$1.42
Idaho,Boise,KBSU,Radio Community Service Grant,"$189,130","1,964,726",$1.42
Idaho,Boise,KBSW,Radio Community Service Grant,"$297,307","1,964,726",$1.42
Idaho,Lapwai,KIYE,Radio Community Service Grant,"$195,684","1,964,726",$1.42
Idaho,Pocatello,KISU,Radio Community Service Grant,"$130,993","1,964,726",$1.42
Illinois,Carbondale,WSIU,Television Community Service Grant,"$1,167,983","12,549,689",$0.91
Illinois,Carbondale,WSIU,Other System Support,"$18,854","12,549,689",$0.91
Illinois,Carbondale,WSIU,Radio Community Service Grant,"$192,577","12,549,689",$0.91
Illinois,Charleston,WEIU,Other System Support,"$12,141","12,549,689",$0.91
Illinois,Charleston,WEIU,Television Community Service Grant,"$729,492","12,549,689",$0.91
Illinois,Chicago,WBEZ,Radio Community Service Grant,"$1,470,175","12,549,689",$0.91
Illinois,Chicago,WTTW,Other System Support,"$57,734","12,549,689",$0.91
Illinois,Chicago,WTTW,Television Community Service Grant,"$3,214,270","12,549,689",$0.91
Illinois,DeKalb,WNIJ,Radio Community Service Grant,"$260,304","12,549,689",$0.91
Illinois,Glen Ellyn,WDCB,Radio Community Service Grant,"$120,049","12,549,689",$0.91
Illinois,Macomb,WIUM,Radio Community Service Grant,"$158,136","12,549,689",$0.91
Illinois,Moline,WQPT,Other System Support,"$12,580","12,549,689",$0.91
Illinois,Moline,WQPT,Television Community Service Grant,"$757,194","12,549,689",$0.91
Illinois,Normal,WGLT,Radio Community Service Grant,"$145,488","12,549,689",$0.91
Illinois,Peoria,WCBU,Radio Community Service Grant,"$99,914","12,549,689",$0.91
Illinois,Peoria,WTVP,Other System Support,"$15,264","12,549,689",$0.91
Illinois,Peoria,WTVP,Television Community Service Grant,"$912,921","12,549,689",$0.91
Illinois,Rock Island,WGVV,Radio Community Service Grant,"$145,637","12,549,689",$0.91
Illinois,Rock Island,WVIK,Radio Community Service Grant,"$128,524","12,549,689",$0.91
Illinois,Springfield,WUIS,Radio Community Service Grant,"$214,229","12,549,689",$0.91
Illinois,Urbana,WILL,Television Community Service Grant,"$1,179,568","12,549,689",$0.91
Illinois,Urbana,WILL,Other System Support,"$20,357","12,549,689",$0.91
Illinois,Urbana,WILL,Radio Community Service Grant,"$355,154","12,549,689",$0.91
Indiana,Bloomington,WFHB,Radio Community Service Grant,"$91,792","6,862,199",$2.79
Indiana,Bloomington,WFIU,Radio Community Service Grant,"$183,553","6,862,199",$2.79
Indiana,Bloomington,WTIU,Other System Support,"$18,768","6,862,199",$2.79
Indiana,Bloomington,WTIU,Television Community Service Grant,"$1,088,496","6,862,199",$2.79
Indiana,Elkhart,WVPE,Radio Community Service Grant,"$155,788","6,862,199",$2.79
Indiana,Evansville,WNIN,Radio Community Service Grant,"$87,227","6,862,199",$2.79
Indiana,Evansville,WNIN,Television Community Service Grant,"$745,289","6,862,199",$2.79
Indiana,Evansville,WNIN,Other System Support,"$11,858","6,862,199",$2.79
Indiana,Fort Wayne,WBOI,Radio Community Service Grant,"$118,533","6,862,199",$2.79
Indiana,Fort Wayne,WFWA,Television Community Service Grant,"$868,644","6,862,199",$2.79
Indiana,Fort Wayne,WFWA,Other System Support,"$14,379","6,862,199",$2.79
Indiana,Indianapolis,WFYI,Ready to Learn,"$75,000","6,862,199",$2.79
Indiana,Indianapolis,WFYI,Other System Support,"$19,703","6,862,199",$2.79
Indiana,Indianapolis,WFYI,Television Community Service Grant,"$1,125,910","6,862,199",$2.79
Indiana,Indianapolis,WFYI,Radio Community Service Grant,"$461,221","6,862,199",$2.79
Indiana,Indianapolis,WFYI,Television Programming,"$500,000","6,862,199",$2.79
Indiana,Indianapolis,WFYI,Radio Programming,"$1,022,082","6,862,199",$2.79
Indiana,Merrillville,WLPR,Radio Community Service Grant,"$95,842","6,862,199",$2.79
Indiana,Merrillville,WYIN,Other System Support,"$8,112","6,862,199",$2.79
Indiana,Merrillville,WYIN,Television Community Service Grant,"$456,336","6,862,199",$2.79
Indiana,Muncie,WBST,Radio Community Service Grant,"$129,500","6,862,199",$2.79
Indiana,Muncie,WIPB,Ready to Learn,"$50,000","6,862,199",$2.79
Indiana,Muncie,WIPB,Television Community Service Grant,"$869,189","6,862,199",$2.79
Indiana,Muncie,WIPB,Other System Support,"$15,023","6,862,199",$2.79
Indiana,South Bend,WNIT,Other System Support,"$15,829","6,862,199",$2.79
Indiana,South Bend,WNIT,Television Community Service Grant,"$943,592","6,862,199",$2.79
Indiana,Vincennes,WVUB,Radio Community Service Grant,"$131,810","6,862,199",$2.79
Indiana,Vincennes,WVUT,Other System Support,"$12,128","6,862,199",$2.79
Indiana,Vincennes,WVUT,Television Community Service Grant,"$774,499","6,862,199",$2.79
Iowa,Cedar Rapids,KCCK,Radio Community Service Grant,"$117,814","3,207,004",$1.36
Iowa,Council Bluffs,KIWR,Radio Community Service Grant,"$101,847","3,207,004",$1.36
Iowa,Des Moines,WOI,Radio Community Service Grant,"$749,230","3,207,004",$1.36
Iowa,Johnston,Iowa PBS,Other System Support,"$49,942","3,207,004",$1.36
Iowa,Johnston,Iowa PBS,Ready to Learn,"$75,000","3,207,004",$1.36
Iowa,Johnston,Iowa PBS,Television Community Service Grant,"$3,118,643","3,207,004",$1.36
Iowa,Sioux City,KWIT,Radio Community Service Grant,"$163,604","3,207,004",$1.36
Kansas,Bunker Hill,KOOD,Other System Support,"$12,066","2,940,546",$1.32
Kansas,Bunker Hill,KOOD,Television Community Service Grant,"$861,203","2,940,546",$1.32
Kansas,Garden City,KANZ,Radio Community Service Grant,"$187,921","2,940,546",$1.32
Kansas,Hutchinson,KHCC,Radio Community Service Grant,"$234,886","2,940,546",$1.32
Kansas,Lawrence,KANU,Radio Community Service Grant,"$339,166","2,940,546",$1.32
Kansas,Pittsburg,KRPS,Radio Community Service Grant,"$130,343","2,940,546",$1.32
Kansas,Topeka,KTWU,Television Community Service Grant,"$885,547","2,940,546",$1.32
Kansas,Topeka,KTWU,Other System Support,"$15,371","2,940,546",$1.32
Kansas,Wichita,KMUW,Radio Community Service Grant,"$209,573","2,940,546",$1.32
Kansas,Wichita,KPTS,Other System Support,"$16,046","2,940,546",$1.32
Kansas,Wichita,KPTS,Television Community Service Grant,"$1,002,256","2,940,546",$1.32
Kentucky,Bowling Green,WKYU,Radio Community Service Grant,"$217,286","4,526,154",$1.43
Kentucky,Bowling Green,WKYU,Television Community Service Grant,"$821,537","4,526,154",$1.43
Kentucky,Bowling Green,WKYU,Other System Support,"$12,767","4,526,154",$1.43
Kentucky,Lexington,Kentucky Network,Television Community Service Grant,"$3,837,744","4,526,154",$1.43
Kentucky,Lexington,Kentucky Network,Other System Support,"$59,654","4,526,154",$1.43
Kentucky,Lexington,Kentucky Network,Ready to Learn,"$50,000","4,526,154",$1.43
Kentucky,Lexington,WUKY,Radio Community Service Grant,"$108,438","4,526,154",$1.43
Kentucky,Louisville,Louisville Public Media,Other System Support,"$117,891","4,526,154",$1.43
Kentucky,Louisville,Louisville Public Media,Radio Programming,"$176,836","4,526,154",$1.43
Kentucky,Louisville,WFPK,Radio Community Service Grant,"$392,861","4,526,154",$1.43
Kentucky,Morehead,WMKY,Radio Community Service Grant,"$129,325","4,526,154",$1.43
Kentucky,Murray,WKMS,Radio Community Service Grant,"$202,442","4,526,154",$1.43
Kentucky,Richmond,WEKU,Radio Community Service Grant,"$214,392","4,526,154",$1.43
Kentucky,Whitesburg,WMMT,Radio Community Service Grant,"$112,229","4,526,154",$1.43
Louisiana,Baton Rouge,Louisiana Public Broadcasting Network,Other System Support,"$37,642","4,573,749",$1.01
Louisiana,Baton Rouge,Louisiana Public Broadcasting Network,Television Community Service Grant,"$2,269,108","4,573,749",$1.01
Louisiana,Baton Rouge,WBRH,Radio Community Service Grant,"$80,434","4,573,749",$1.01
